,match_id,comp_id,season_id,date,home_name,home_id,away_name,away_id,home_score,away_score,home_xg_ft,away_xg_ft,home_xg_1h,away_xg_1h,home_xg_2h,away_xg_2h,home_sot_ft,away_sot_ft,home_sot_1h,away_sot_1h,home_sot_2h,away_sot_2h,home_shots_ft,away_shots_ft,home_shots_1h,away_shots_1h,home_shots_2h,away_shots_2h,home_corners_ft,away_corners_ft,home_corners_1h,away_corners_1h,home_corners_2h,away_corners_2h,home_fouls_ft,away_fouls_ft,home_fouls_1h,away_fouls_1h,home_fouls_2h,away_fouls_2h,home_offsides_ft,away_offsides_ft,home_offsides_1h,away_offsides_1h,home_offsides_2h,away_offsides_2h,home_yellows_ft,away_yellows_ft,home_yellows_1h,away_yellows_1h,home_yellows_2h,away_yellows_2h,home_poss_ft,away_poss_ft,home_poss_1h,away_poss_1h,home_poss_2h,away_poss_2h,home_reds_ft,away_reds_ft,home_reds_1h,away_reds_1h,home_reds_2h,away_reds_2h
13,mt_625686095,comp_2954,sn_3001600,2025-06-06T18:45:00.000Z,Czechia,tm_09485,Montenegro,tm_721624,2,0,1.06,1.29,,,,,7,3,2.0,0.0,5.0,3.0,13,6,4.0,1.0,9.0,5.0,8,4,3.0,3.0,5.0,1.0,23,10,,,,,4,1,2.0,1.0,2.0,0.0,1,3,0,1,1,2,57,43,60.0,40.0,54.0,46.0,0,0,0,0,0,0
14,mt_019070534,comp_2954,sn_3001600,2025-06-06T18:45:00.000Z,Wales,tm_94101,Liechtenstein,tm_17667,3,0,4.01,0.0,,,,,11,0,6.0,0.0,5.0,0.0,26,0,14.0,0.0,12.0,0.0,12,0,8.0,0.0,4.0,0.0,9,8,,,,,1,3,1.0,1.0,0.0,2.0,1,2,0,0,1,2,79,21,77.0,23.0,81.0,19.0,0,0,0,0,0,0
15,mt_583565941,comp_2954,sn_3001600,2025-06-06T18:45:00.000Z,North Macedonia,tm_32834,Belgium,tm_32860,1,1,0.68,2.01,,,,,2,4,1.0,3.0,1.0,1.0,7,17,4.0,12.0,3.0,5.0,1,10,1.0,8.0,0.0,2.0,13,11,,,,,2,1,0.0,0.0,2.0,1.0,6,1,1,1,5,0,32,68,32.0,68.0,32.0,68.0,0,0,0,0,0,0
16,mt_974909327,comp_2954,sn_3001600,2025-06-06T18:45:00.000Z,Norway,tm_41500,Italy,tm_32805,3,0,1.51,0.19,,,,,4,1,4.0,0.0,0.0,1.0,8,6,7.0,1.0,1.0,5.0,6,2,3.0,1.0,3.0,1.0,11,10,,,,,0,2,0.0,1.0,0.0,1.0,2,0,1,0,1,0,38,62,34.0,66.0,42.0,58.0,0,0,0,0,0,0
17,mt_258232179,comp_2954,sn_3001600,2025-06-06T18:45:00.000Z,Estonia,tm_70906,Israel,tm_17398,1,3,0.72,2.77,,,,,2,7,2.0,3.0,0.0,4.0,8,16,4.0,11.0,4.0,5.0,5,5,4.0,3.0,1.0,2.0,13,7,,,,,1,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,53,47,50.0,50.0,56.0,44.0,0,0,0,0,0,0
18,mt_197141864,comp_2954,sn_3001600,2025-03-25T19:45:00.000Z,Montenegro,tm_721624,Faroe Islands,tm_17071,1,0,1.9,0.5,,,,,5,1,1.0,0.0,4.0,1.0,20,4,5.0,2.0,15.0,2.0,7,3,3.0,3.0,4.0,0.0,9,10,,,,,0,1,0.0,1.0,0.0,0.0,1,1,0,1,1,0,66,34,61.0,39.0,72.0,28.0,0,0,0,0,0,0
19,mt_740717697,comp_2954,sn_3001600,2025-03-25T19:45:00.000Z,Gibraltar,tm_0189159,Czechia,tm_09485,0,4,0.0,3.99,,,,,0,12,0.0,5.0,0.0,7.0,1,29,0.0,12.0,1.0,17.0,0,12,0.0,5.0,0.0,7.0,10,10,,,,,5,3,2.0,2.0,3.0,1.0,3,1,3,1,0,0,20,80,24.0,76.0,16.0,84.0,0,0,0,0,0,0
20,mt_836828757,comp_2954,sn_3001600,2025-03-25T19:45:00.000Z,North Macedonia,tm_32834,Wales,tm_94101,1,1,0.47,0.97,,,,,2,6,0.0,3.0,2.0,3.0,8,11,3.0,4.0,5.0,7.0,5,5,2.0,4.0,3.0,1.0,10,16,,,,,2,1,0.0,0.0,2.0,1.0,2,2,1,0,1,2,32,68,35.0,65.0,28.0,72.0,0,0,0,0,0,0
21,mt_362353482,comp_2954,sn_3001600,2025-03-25T19:45:00.000Z,Liechtenstein,tm_17667,Kazakhstan,tm_94197,0,2,0.15,2.18,,,,,2,4,2.0,2.0,0.0,2.0,3,16,3.0,5.0,0.0,11.0,1,6,0.0,1.0,1.0,5.0,6,10,,,,,0,1,0.0,1.0,0.0,0.0,1,1,1,1,0,0,30,70,36.0,64.0,25.0,75.0,0,0,0,0,0,0
22,mt_401494277,comp_2954,sn_3001600,2025-03-25T19:45:00.000Z,Israel,tm_17398,Norway,tm_41500,2,4,0.63,3.76,,,,,6,12,1.0,5.0,5.0,7.0,10,23,4.0,12.0,6.0,11.0,2,7,0.0,5.0,2.0,2.0,7,9,,,,,1,1,0.0,1.0,1.0,0.0,1,2,0,1,1,1,45,55,37.0,63.0,53.0,47.0,0,0,0,0,0,0
23,mt_625686039,comp_2954,sn_3001600,2025-03-25T17:00:00.000Z,Moldova,tm_94208,Estonia,tm_70906,2,3,1.1,1.77,,,,,6,7,3.0,5.0,3.0,2.0,14,10,4.0,6.0,10.0,4.0,5,3,2.0,2.0,3.0,1.0,14,15,,,,,0,3,0.0,2.0,0.0,1.0,3,5,0,2,3,3,50,50,40.0,60.0,61.0,39.0,1,1,1,0,0,1
24,mt_019070542,comp_2954,sn_3001600,2025-03-24T19:45:00.000Z,Poland,tm_53264,Malta,tm_53717,2,0,3.19,0.29,,,,,12,3,6.0,2.0,6.0,1.0,28,9,13.0,5.0,15.0,4.0,5,3,3.0,2.0,2.0,1.0,12,16,,,,,0,0,,,,,2,3,1,1,1,2,58,42,56.0,44.0,60.0,40.0,0,1,0,0,0,1
25,mt_974909316,comp_2954,sn_3001600,2025-03-24T19:45:00.000Z,England,tm_53273,Latvia,tm_65386,3,0,5.22,0.07,,,,,8,1,3.0,1.0,5.0,0.0,27,3,17.0,2.0,10.0,1.0,10,2,4.0,1.0,6.0,1.0,11,13,,,,,0,2,0.0,1.0,0.0,1.0,1,2,1,0,0,2,73,27,79.0,21.0,68.0,32.0,0,0,0,0,0,0
26,mt_258232163,comp_2954,sn_3001600,2025-03-24T19:45:00.000Z,Albania,tm_17513,Andorra,tm_86059,3,0,0.67,0.0,,,,,7,0,3.0,0.0,4.0,0.0,15,0,6.0,0.0,9.0,0.0,2,0,1.0,0.0,1.0,0.0,2,21,,,,,0,2,0.0,2.0,0.0,0.0,0,2,0,1,0,1,85,15,81.0,19.0,89.0,11.0,0,0,0,0,0,0
27,mt_197141851,comp_2954,sn_3001600,2025-03-24T19:45:00.000Z,San Marino,tm_53436,Romania,tm_32068,1,5,0.14,3.51,,,,,1,8,0.0,3.0,1.0,5.0,1,18,0.0,10.0,1.0,8.0,2,10,0.0,7.0,2.0,3.0,11,13,,,,,1,2,0.0,0.0,1.0,2.0,3,1,0,0,3,1,25,75,19.0,81.0,32.0,68.0,0,0,0,0,0,0
28,mt_740717636,comp_2954,sn_3001600,2025-03-24T19:45:00.000Z,Bosnia & Herzegovina,tm_70240,Cyprus,tm_94680,2,1,1.61,1.88,,,,,6,4,2.0,4.0,4.0,0.0,14,11,6.0,10.0,8.0,1.0,7,7,3.0,4.0,4.0,3.0,14,16,,,,,2,4,1.0,2.0,1.0,2.0,2,3,1,1,1,2,56,44,57.0,43.0,55.0,45.0,0,1,0,0,0,1
